学年,年度,授業開始時間,科目,コメント
小6,2026,2026/4/2 9:50,国語,"まず宿題の確認をしましたが、2個目の文章の本文まとめまでという状況でした。理由を聞くと時間がなかったと言ったので、その場で解かせ、かかった時間を確認し、これくらいなら出来たよねと指導しました。本日分の宿題についても帰宅後すぐか夕食後に必ずやると約束したので、明日確認します。
授業では論説文を引き続き扱いました。内容がイメージしやすい昆虫の文章は良く出来ていて、イメージしにくい惑星と大気については間違いが多いという状況です。文章を読んでそのまま設問を解いているので、設問を読んで本文にどう書いてあるかを確認してから答えを書く、選ぶというステップを指導していきます。"
中1,2026,2026/4/1 14:20,国語,今回は最初の詩と随筆を扱いました。別塾の体験でやったとのことで内容はしっかり捉えられていましたが、まだ設問への対応は慣れていない様子でした。記述問題では必ず何が問われているか「どういうことか」「なぜか」を確認してから書き始めるようにしていきましょう。また、伺った通り漢字は既習のものでも抜けているものが多いので都度確認しながら進めていきます。
小5,2026,2026/4/1 11:20,算数,"今回は差集め算と分配算を扱いました。線分図を書いて考える問題でしたが、線分の長さが表しているものや、〇や□を使って作った式が何を表しているかなど、意味に対しての意識があまりないため、かなり苦戦してしまいました。この点は今後も注力していきます。
後半はいったん次の単元に進んで小数の掛け算を扱いました。こちらは計算方法を教えたところノーミスでどんどん解き進めることが出来ていました。今後の授業は単元を少しずつ進めつつ、時折文章題を扱うような構成で進めていこうと思います。"
中3,2026,2026/4/1 11:20,数学,"まず宿題の出来を確認したところ、決まったやり方に捕らわれるあまり、簡単な方程式を解けずにいたようでした。また、その後の文章題でも式の意味（何を計算すすものか）をあまり意識していない様子だったため、必ず何を計算しているのかを考えながら解くようにしてください。
今回は割合の概念の復習から入りましたが、いったん百分率に関してはある程度理解し使える状態になったかと思います。今後も都度理解度を確認しながら進めていきます。"
小5,2026,2026/4/1 9:50,国語,"文章を漫然と読んでいる節があるので、段落ごとにまとめメモを書きながら読むように指示しました。今回はまだ最初なので文を抜き出しているだけでしたが、比較的要点は捉えられているようです。少しずつ段落間の関係性も意識させていければと思います。
また、設問においては文を抜き出す、部分を抜き出すの違いが曖昧になっていたので、設問を見たらまず条件を確認する事を再度伝えています。"
中3,2026,2026/4/1 9:50,英語,今回は比較を扱いました。これまでと同様に文法事項はすんなりと使いこなせるものの、単語が分からず解けていない状態です。分からない単語は全部書き出しているようなので徐々に改善してくるとは思います。また、今回の単元に集中している結果、be動詞と一般動詞の区別や過去形への意識が疎かになっていることがあるので注意しましょう。
中3,2025,2026/3/31 17:20,英語,本日は過去形の続きを扱いました。なかなかbe動詞と一般動詞を区別して答えることが出来ていませんでしたが、反射的に適当に答える癖が少し抑えられて多少は考えながら解くようになってきました。後半に並び替えをやり続けましたが比較的良く出来ていました。宿題は必ずやって来て下さい。
中2,2025,2026/3/31 15:50,英語,今回は宿題の過去形の確認の後、be going toを扱いました。今日はかなり調子が良く、否定文や疑問文をすんなりと答えることが出来ました。法則に従って考えることができてきています。テキストの問題もほぼ間違えずに解くことが出来ていて素晴らしいです。単語の抜けはなんとかしなければならないので、分からなかった単語はどんどん書き出すようにしてください。
中2,2025,2026/3/31 15:50,数学,"本日は連立方程式の続きを扱いました。解き方は問題ないですが、符号のミスや、式を数倍する際に数字にかけ忘れる事象が発生していました。途中式は丁寧に書くようになってきているので、変形の際にまず符号を確認すること、マイナスが出ないように変形すること、イコールの関係が保たれているか確認する事を徹底していきましょう。
"
中2,2025,2026/3/31 14:20,英語,今回はto不定詞の副詞的用法を扱いました。和訳問題は良く出来ていましたが、空所補充や英作文においてbe動詞と一般動詞を重ねてしまったり、動詞が抜けたりしてしまうことがあります。問題を解くことに集中しすぎている節があるので、必ず主語と動詞を確認するようにしましょう。また、一部が分からないと全部書かないのは勿体ないです。不明点を明確にするためにも、部分点を稼ぐためにも、分かる範囲で書くようにしてください。
中2,2025,2026/3/31 14:20,数学,1年の復習の範囲が終わったので、中2の範囲に入って式の加法減法を進めていきます。今回は同類項をまとめるところまで扱いましたが、概ねやり方は理解して解けるようになったようです。符号への意識がまだまだ甘いので、符号は常に確認しながら解き進めるようにしましょう。
小6,2025,2026/3/31 9:50,算数,本日もきちんと宿題はやってありました。今回は前回に引き続き錐体、回転体の体積を扱いました。一対一だったこともあり、少し時間を掛けて分数の概念、割り算と分数の掛け算の変換を復習し、簡易的な方程式の解き方を扱いました。その後実際の問題を扱いましたが、前回やった中心角の公式はきちんと覚えられていました。宿題で基本問題を出しているので次回確認し、問題なければ次の単元に進みます。
中3,2025,2026/3/30 17:20,英語,今回は宿題はきちんとやってきてくれましたので次の単元に進んで過去形に入りましたが、過去形の形と三単現のSの形を混同し続けてなかなか進みませんでした。be動詞と一般動詞も言えば区別できるものの自分では気づけないという状態なので、ここのクリアにかなり時間が掛かりそうです。
高3,2025,2026/3/30 17:20,数学,本日は最初に英語の勉強について確認した後、数学に進みました。今回は対称式を使った問題で、説明したことを理解して問題を解き進めることが出来ました。最後の問題のみ少し苦戦してしまいましたが、きちんと納得するまで考えることが出来ていて素晴らしいです。この調子で理解を重視して進めていきましょう。
中2,2025,2026/3/30 15:50,数学,"今回は宿題範囲で分からない問題が多かったため、その確認から始めました。式を変形する際や最後に答えを書く際に分母なのか分子なのかへの意識が甘いために、逆にしてしまうことが多かったようです。
後半で文字式の利用の単元に少し入りましたが、奇数や差が2の数を文字を使って表す等も苦手意識がありそうだったため、次回も説明から始めます。"
中3,2025,2026/3/30 15:50,数学,今回は文字を使った数量の練習を行いました。代金や平均は問題なくかけているものの、単位変換や割合は間違えてしまうことが多いです。とにかく適当にかけたり割ったりする傾向があるので、「わかるものをまず書く」→「文字に置き換える」訓練を少しずつしていきます。
中2,2025,2026/3/30 14:20,英語,今回は1年生の復習を終わらせて、中2の範囲に入りました。まだ新規の文法事項ではなく過去形の問題だったため、比較的スムーズに解くことが出来ました。が、一般動詞の問題にbe動詞を持ち込んだりしてしまっているので、必ず区別して問題に取り組むようにしましょう。宿題で規則動詞の過去形を出しています。
中2,2025,2026/3/30 14:20,英語,本日から接続詞に入りました。きちんと法則を理解してほとんど間違えることなく進めることが出来ました。未来を表す際にbe動詞を忘れないようにすること、進行形のbe動詞など、基本的な形の意識がまだ甘いので注意しましょう。また、三単現のSや、過去形、否定形などに注意して英作文に取り組むようにしていきましょう。
小4,2025,2026/3/30 11:20,算数,"今回は割り算の工夫をメインで扱いました。最初は初めて考えることだったためかなかなか腑に落ちない様子でしたが、後半はしっかり使いこなすことが出来ていて、問題もどんどん解き進めることが出来ていました。あまりを書く時の桁だけは気をつけるように伝えています。
2コマ連続でしたが特に集中力が切れた様子もなく、問題ないかと思われます。"
小6,2025,2026/3/30 11:20,国語,今回は宿題で解いてきてもらった文章の確認から始めました。言葉を知らなかった問題もありますが、要点を聞く問題で要点以外の事を答えている、原因を聞く問題で内容説明になっている等が主な間違いの要因です。設問の指示に丸をつけて何を問われているか考えるように伝えました。また、どこに何が書いてあったか思い出すのに時間がかかっていふこともあるので、段落ごとに何の話かを簡単にメモすることも併せて指示しています。
小6,2025,2026/3/30 9:50,算数,比の問題は次の次の単元でも扱うので一旦終わりにして、次の単元に入りました錐体の体積と表面積を求める単元で、四角錐三角錐は問題なく進められました。円錐は図形的な部分は問題ないものの、割合の概念理解が怪しいためか、扇形の面積にかなり苦戦してしまいました。いったんは公式暗記で進めつつ、次の単元に向けて割合についての概念理解、分数を掛けることの意味を整理する時間を作ります。
小4,2025,2026/3/30 9:50,国語,"今回と引き続き接続語の問題を扱いました。きちんと前後の文を確認して設問に取り組んではいましたが、文が長かったためか、関係性をとらえられずにいたようです。また、記述問題でも、少し離れた箇所にポイントや根拠がある場合にうまく書けない状態となっていました。内容が難しくなった際にうまく読み取れてない様子なので、読みにフォーカスして進めていきます。明日はP24,25の続きから扱います"
中2,2025,2026/3/28 17:20,英語,宿題の接続詞の範囲に間違いが多かったためその復習から始め、その後依頼表現、重要文法の整理へと進みました。良く出来ていましたが、説明箇所を見ながら解いていることがあるため表現を覚えきれていない様子でした。単語もそうですが、思い出す作業が記憶の定着には不可欠なので、一旦見ずに思い出す→出来なかったら確認するという順番で取り組むようにしていきましょう。
中2,2025,2026/3/28 15:50,数学,本日から連立方程式を扱います。計算方法はしっかり理解できていて、加減法はスムーズに進められました。代入法は式を式に代入する感覚が掴めなかったのか最初だけ苦戦しましたが、後半は問題なく解けるようになりました。ただ、計算や連立でない1次方程式を解く際にミスが発生していました。途中式を省略した結果暗算に時間がかかってしまっていることもあるため、頭の中で済ませようとせずにノートにどんどん書いていくようにしましょう。
中3,2025,2026/3/28 11:20,英語,"今回は命令文と形容詞・副詞を扱いました。これまで通り文法法則はきちんと使えています。単語や表現のストックがあまりないので問題が解けない状態になっています。ただ、以前指示した通りわからない単語を書き出すことはきちんとやっているようなので、この調子で続けていきましょう。
"
小5,2025,2026/3/28 11:20,国語,"本日から接続語の問題に入りました。前後の文の関係性を考えるのではなく、いれてみてなんとなくそれっぽいものという解き方になってしまっているので、すべての問題について、どういう関係かな？と問いながら進めていきましたが、その質問にはある程度正しく答えられていました。今後は文と文や段落と段落の関係性を書かせるような形式にしていきたいと思います。
また、以前も扱った「具体的」の意味が分からなかったり、（動物の具体例は？だと答えられず、動物って例えば何がある？と問えば答えられる）、「したがって」の意味が分からなかったりしていたので、語彙力そのものも鍛えていく必要がありそうです。"
中3,2025,2026/3/28 9:50,数学,連立方程式に入りました。計算方法は理解できていますが、ミスも見られました。ミスがなくなるまで途中式を省かないようにしましょう。後半の文章題も個数と代金、速さの問題はすんなり解くことが出来ていました。割合、百分率ははそもそも概念から怪しいので、次回は連立方程式から少し離れてそのあたりの問題を扱います。
小6,2025,2026/3/28 9:50,国語,"今回は論説文と説明文を途中まで扱いました。論説文は内容が抽象的(人格と意見は分けるという内容)で文章自体の難易度が高かったため、正答率は低くなってしまいました。一方で後半の説明文はきちんと読めていて、現状正解できています。読みに関しては論理を考える練習を少しずつしていきます。
設問については、◯字で探して△字で答えよというタイプの問題は、前半の指示を無視してしまって△時の言葉を探してしまうなどが見られたため、長い設問の際にまず何を答えるのかを整理することから始めていきます。"
中2,2025,2026/3/27 15:50,英語,今回は定期テスト対策ABという前回内容の復習単元に取り組みました。単語もきちんと覚えられており、語順等も概ね問題ありません。つまづきやすい同意文形成もきちんと考えられています。だんだん修飾語句が増えて英文が長くなってきているので、和訳も作文も、いくつかの単語の塊を意識して考えるようにしていきましょう。
中2,2025,2026/3/27 14:20,数学,今回は多項式の計算を扱いました。計算方法はきちんと理解できていて、途中式も省略せず丁寧に書いてるため間違えた時の原因分析もすぐにできてどんどん進めることが出来ました。ただ、マイナスを掛けるとき(括弧を外す時)に符号を間違えてしまうことが何度かあったので、その際は符号を丁寧に確認するようにしましょう。また、最後の分数と文字の除法では、文字が分母なのか分子なのかが曖昧になってしまっていたため、慣れるまでは横に文字を書かず分母分子のどちら側かに寄せるようにして下さい。
中3,2025,2026/3/27 11:20,英語,"宿題の確認で冠詞代名詞を扱いました。この辺りは今後も単元に関係なく触れることが多いので、出てくるたびに確認するようにしていきましょう。
今回は未来形と助動詞を学習しました。きちんと文法を法則として捉えられているので、否定や疑問もすんなりと間違えることなく書くことが出来ていて素晴らしいです。ちょこちょこミスがあるので、問題文の語尾をチェックすること、空所補充は最後に確認する事を徹底していきましょう。
今週分まで理社も進んでいるようで、全体としても順調かと思います。"
中3,2025,2026/3/27 9:50,数学,"最初に一次方程式の応用を扱いました。初見では解けない難易度でしたが、説明で考え方は理解できたと思います。今回のように解説を読んで考える練習もしていきましょう。
その後、図形の範囲は一旦飛ばして中2の式の計算の範囲に入りました。概ね良く出来ていましたが、方程式を解くことと式の値を計算することは異なる作業なので混同に注意して下さい。"
中3,2025,2026/3/26 17:20,英語,今回は宿題が出来ていなかったので、再度その範囲を扱いました。ほとんど忘れていたので改めて説明する必要がありましたが、一度解き終えたのち二週目を解くと全問正解だったため、いったんは理解できたものと思われます。宿題で同範囲の練習問題を出しているので、必ずやってきてください。
中2,2025,2026/3/26 17:20,英語,今回は教科書表現の確認と5文型について扱いました。文型はこれまであまり意識してこなかったものだと思うので苦戦していましたが、和訳はきちんと出来ているので及第点と言えます。その後重要文法の整理という単元でこれまでのwillやSVOO、SVOCの復習を行いましたが、並び替えまで問題なく出来ていました。書き換えの際のforとtoだけは注意しましょう。
中3,2025,2026/3/26 15:50,数学,本日は宿題の確認から入りました。等式の変形は一度説明すると思い出したのか比較的スムーズに解き進めることが出来ました。また、文字で数量を表す問題もきちんと理解できています。一方で割合の計算はかなり怪しいため、次回はそこから進めていきます。
中2,2025,2026/3/26 15:50,数学,数学は初回なので中1の復習から入りました。一部符号ミスがあったものの、文字式や概ね問題なく理解出来ているようです。後半は多項式の加法減法について扱いました。新しい用語や考え方もしっかり使いこなせていました。明日も授業なので宿題は飛ばした問題のみとします。このペースでどんどん進めていきましょう！
中2,2025,2026/3/26 14:20,数学,
中3,2025,2026/3/26 11:20,数学,本日は一次方程式および比例反比例の文章題を扱いました。特に一次方程式の文章題については、惜しいところまでは出来ているが、微妙に式が違うことが間違いの原因なので、まず日本語で何を式とするかを考えてから数式に落とし込むようにしていきましょう。また、余計な計算をしないこと、工夫して計算することもミスを防ぐために意識していきましょう。
小5,2025,2026/3/26 11:20,算数,"2コマ連続でしたが、最後まで集中して取り組むことが出来ていました。最初のL字型図形の面積は会話しながら進めましたが、二つに分けること自体は問題なく、その後各箇所の長さを考えるときに苦戦しました。とりあえず数字をを言う傾向が強いので、とにかくわかる長さをどんどん図に書き込むようにすると、二問目は比較的スムーズに進めることが出来ました。後半は文章題に入り、所見では難しいので図を描きながら説明した後、それを見せずに再現させるとしっかりと出来ていました。明日も授業なので宿題は面積の問題の解きなおしのみとしています。
"
小5,2025,2026/3/26 9:50,国語,今回も引き続き指示語の問題を扱いました。選択肢がややこしい問題の解きに間違いがあったため、すべての選択肢を確認してから答えること、迷ったら文章を再度確認することを伝えています。記述問題は内容をしっかり答えられている一方で、抜き出しになってしまっているので、何が聞かれているのか、どういう形で答えるのかを確認してから答えるように指導しました。
小6,2025,2026/3/26 9:50,算数,"本日も引き続き比の利用を扱いました。昨日の宿題と同タイプの問題はスムーズに解けており、式の意味を聞いても答えることが出来ました。
今回の例題6は少々ややこしく、今の年齢を①とおいたり、①年後を考えたりしたため、混乱してしまった様子です。また、前者の場合は①が8歳を指すことが理解できる一方で、後者の場合は38歳の①年後の年齢を39歳と答えてしまうなど、まだ文字であらわす考え方に慣れていないようです。今後の単元でも同じように考えることが多いので、少しずつ身に着けられるように進めていきます。"
中2,2025,2026/3/25 18:50,英語,引き続き中1の復習の範囲を進めました。宿題でやってきた箇所は単語以外は良く出来ていました。ただ、総じてスペルが怪しいので、見ながら書き写すのではなく、覚えて思い出しながら書くようにしていきましょう。また、疑問文や否定文への書き換えはなんとなくやるのではなく、法則にしたがって考えるようにしてください。
中2,2025,2026/3/25 18:50,数学,今回は第一章の総復習トレーニングの単元を進めました。概ねやり方は覚えていましたが、途中式を書かないことによるミスが頻発していたので、絶対に間違えない自信が付くまでは面倒くさがらずに書くようにしましょう！最後の等式変形は足す引くなのか掛ける割るなのかをかならず確認してから進めて下さい。
小6,2025,2026/3/25 15:50,算数,まず宿題の確認から始めました。まず逆比はやり方が分かっていたものの分数の比を整数の比に変換する際に間違いがあったたためその確認から始めました。後半の文章題は途中まで出来ていたものの、比の①が何に当たるかを考えられていなかったため、改めて解き直しました。その後新しい例題に進み、比例式の利用に取り組みました。やはり早く解くことを重視しているのか、まだまだ例題の解法をなぞりつつ適当に数字を持ってくる癖が残っています。ただ、一つ一つ確認していくと何をしているのか答えられることもあるので、根気強く指導してまいります。
中3,2025,2026/3/24 20:20,数学,本日は等式の変形を扱いました。最初は足すと掛ける、引くと割るの区別が曖昧で進みが悪かったですが、理解してからはなんとか進めることができました。途中式を省略するせいで間違えてしまっていることも多々あるので、必ず全部書くようにしてください。頭の中で考えるのはミスの温床です。ノートの上で考えましょう。
中2,2025,2026/3/24 18:50,英語,今回はUnit0-1の総復習の単元を扱いました。一つ一つの文法事項は覚えていないわけではないものの、ごちゃごちゃになってしまってうまく使い分け出来ていない印象です。また、特に疑問文において語順が変になってしまいがちなので、とにかく平叙文の語順から順に考える癖をつけていきましょう。宿題で解き直しを出すので、とにかく語順に気をつけて取り組んで下さい。
中2,2025,2026/3/24 18:50,英語,"本日は単語テストに取り組んでみましたが、あまり覚えられていませんでした。出てきた単語をきっちり覚えていくことはテストに向けて必須なので、しっかり復習しておいて下さい。宿題範囲は概ね問題なく出来ていましたが、この辺りから文が長くなるので日本語との対応を考える癖をつけていきましょう。
"
高3,2025,2026/3/24 17:20,英語,"今回は今後の進め方の確認と、英語の最初の問題を扱いました。
英語:パス単、リード英文法A、速読英熟語
数学:基礎問題精講1A
を進めていきます。やり始めてみて細かい進め方は調整していきます。"
中3,2025,2026/3/23 17:20,数学,"まずは宿題の確認から始めました。方程式の計算はほぼ問題ありませんでしたが、応用の文章題は苦戦した様子でした。何をxとおいたのかや、xを使って表したもの、作った式が何を表しているかへの意識がまだまだ甘いようだったので、その点をメモしながら解くように指導しています。その後比例反比例に入り、定義はきちんと覚えていたものの、式とグラフの関係はさっぱり分からないとのことでしたが、説明で理解してくれたようで、その後の問題はスムーズに解けていました。
次は図形の範囲ですが、中3範囲に追いつくために一旦飛ばして進めます。"
中2,2025,2026/3/20 18:50,数学,宿題範囲の確認から取り組みました。指摘すると修正は出来るものの、符号についてのミスがまだまだ多いため注意が必要です。四則演算の計算の順番については多少身についてきたので、宿題を通して完璧にしてきてください。また、分配法則・結合法則を使った計算の工夫にも注意してください。宿題が問題なく出来ていれば次の範囲に進みます。
中3,2025,2026/3/20 18:50,英語,"宿題がほとんど出来ていなかったため、宿題範囲から再度取り組みました。前回の内容をかなり忘れてしまっていたため、できるだけ早く宿題に取り組むようにしてください。後半は正しく考えられるようになってきているので、この調子で、常に主語が何か、be動詞か一般動詞かを考えながら進めるようにしてください。
また、わからない単語はすべてルーズリーフに書き出すようにしていきましょう。"
小5,2025,2026/3/20 15:50,国語,今回は宿題をきちんとやってきてくれました。授業では引き続き指示語の把握を扱いました。直前に書かれていることを抜き出すタイプの問題は記述問題も選択問題も正解できていましたが、前の段落全体をまとめるタイプの問題は間違えてしまいました。質問していても、意味を考えているのではなくとりあえず直前に書かれていることを答える傾向があります。一方で1単語で言うと？などの問いかけには正しく答えられることもあるので、見つけた箇所を代入してみることを徹底して、少しずつ意味を考える重要性を実感させられればと思います。少し負荷が掛かってストレスを感じている印象もあるのでご家庭で気になることがあればご連絡下さい。
中2,2025,2026/3/19 17:20,国語,今回は引き続き文章問題を進めました。記号問題は前半でいくつか間違いがあったものの、後半はほぼ正解で、理由を聞いてもきちんと考えた上で選べていました。記述問題はまず書くことは出来ていますが、微妙にズレている解答も見られたため、まず設問と傍線部のみを見て極力簡潔に答えてみる、その後字数に合わせて付け加える部分を探すという順で考えるように伝えています。読む力自体はあるので、注意を向けるポイントが分かってくると安定して正解できるようになるかと思われます。
中3,2025,2026/3/19 17:20,英語,宿題を確認したところ、やはり文法規則で考えられる部分は非常に良くできていて、とにかく単語を覚えられていない箇所が間違っているという印象です。ルーズリーフを使っているので、とにかく分からなかった単語や表現は全て書き出すこと、問題に取り組む前に確認することを伝えています。今回扱った単元は良く出来てきたので、宿題の際はできるだけ何も見ずに解けるようにしていきましょう！
小5,2025,2026/3/19 15:50,算数,今回も引き続きウォーミングアップの範囲を進めました。最初の文章題でフリーズしてしまっていたので、一旦簡単な数字で考えてみて、同じ考え方で問題に取り組むという手法を試してみましたが、なかなか苦戦してしまいました。やはり切りの良い数字だとなんとなく出来てしまうが故に、与えられた情報から式を作ることが極端に苦手なこと、そもそも掛け算の概念理解が出来ていないことが要因かもしれません。また、まだまだとりあえず適当に計算結果を言う癖も残っています。一方でノートに式を書くことなどは少しずつ自発的にようになってきています。
中2,2025,2026/3/18 18:50,数学,本日は文字式の利用で文章問題と、等式変形の復習を行いました。文章題では面積や体積を文字であらわす問題でしたが、なんとなく計算してしまっているので、定義に立ち返って式を作るように心がけましょう。後半は式計算を行いましたが、全体としては非常によくできていました。掛け算の等式変形が少々怪しかったので復習しておいてください。また、符号のミスには気を付けましょう！
中2,2025,2026/3/18 18:50,英語,本日は宿題としていた中1の復習の一般動詞～進行形の範囲を進めました。自分でやった段階ではかなり間違ってしまっていましたが、説明した後はなんとか解くことが出来ていました。法則性は理解できたと思うので、次回確認して問題なければ次の範囲に進みます。単語を見ながら書いていては覚えないので、頭に入れて思い出しながら書くようにしてください。
小6,2025,2026/3/18 15:50,算数,本日は宿題の確認の後、比の利用の範囲に入りました。分数が入った比の計算が出来ていなかったためそこの確認から行いましたが、やはりまだ感覚的にやっている部分があるため、なぜそうなるのかを問い続ける必要がありそうです。文章題の解き方は使えるようになりましたし、過程もきちんとノートに書くことが出来ています。宿題の際も過程をきちんと書くようにして頂ければと思います。
小4,2025,2026/3/18 15:50,"国語,算数","本日の国語は接続後の続きを扱いました。記述問題ではやはりまだ苦手意識があるのか、何を書けば良いのかわからない様子で、簡単に考え方を伝えたらしっかりと書くことができました。能力ではなく自信・姿勢の問題だと思うので、間違えても良いから書いてみること、設問分を見た時の考える順番などを伝えていければと思います。
算数は割り算の利用で文章題を扱いましたが、間違えることなく解けていて素晴らしいです。計算の工夫の部分は時間が足りなかったため、来週再度説明します。"
中3,2025,2026/3/17 20:20,数学,今回は宿題の確認で正負の数から扱いました。間違えた箇所も自分で直せるようになっていたので一旦は大丈夫かと思います。文字式の方もかなりやり方は身についてきていて、符号も意識できるようになってきていると思います。ここから徐々にスピードを上げていきます。宿題は必ず丸付けをして解説を読んで解き直すようにしていって下さい。
中2,2025,2026/3/17 18:50,英語,"今回は宿題の確認の後、SVOOの文、SVOCの文を扱いました。法則は概ね理解してあまり間違えずに進めることが出来ましたが、気を抜くとなんとなく聞き馴染みのある語順で書いてしまいがちなので、常に動詞の使い方に注意を払って取り組むように伝えています。
宿題で単語ドリルを出しています。英語から日本語、日本語から英語共に出来るように覚えてきて下さい。覚えたものにチェックをつけて、覚えてないものに時間を重点的に使えるようにしていきましょう。"
中2,2025,2026/3/17 18:50,英語,今回から接続詞の範囲に入りました。穴埋め系の問題は比較的良く出来ていましたが、英作文等は、日本語訳が長くなっていることもありごちゃごちゃになってしまうことが時折ありました。このあたりの範囲から、まずは日本語の構造を分析することが必要になってくるので、なんとなく書き始めるのではなく、大まかな語順を考えてから書くようにしていきましょう！
中3,2025,2026/3/16 17:20,数学,本日はまず宿題の確認から行いました。計算系の問題は符号のミスがありましたが、全体としては良く出来ていました。文章題系もある程度までは自分で考えられていて素晴らしいです。後半は次の範囲に進んで方程式の応用で文章題を扱いました。苦手との発言もありましたし、実際進みも少し遅くなってしまいました。とはいえ解けている問題も多かったので、ノートに式の意味を書きながら進めていきましょう！
小4,2025,2026/3/16 15:50,"国語,算数","国語は漢字日記の確認から始め、接続語の文章題を扱いました。文章で答える問題もきちんと書くことが出来ていて素晴らしいです。内容的には抜き出し系は良く出来ていますが、自分でまとめるもの、言い換えを見抜く必要があるものはまだまだこれからといった印象です。
算数は引き続き割り算の筆算を扱いました。計算の仕方は合っているものの、2桁かける1桁を暗算でやろうとして時間がかかったり、ミスしたりしているので、掛け算の筆算と同じように考えるように伝えています。"
中2,2025,2026/3/13 18:50,数学,宿題で分からないところがあるとのことだったので、その確認から始めました。マイナス×マイナスがプラスになるのが抜けていたのと、符号への意識が甘いのが要因で、一つずつ確認していくと問題なく出来ています。宿題で同じ範囲の違う問題を出したので、一つ一つ途中式を省略せずに書いて、計算ミスをしないことを意識して取り組んでください。
中3,2025,2026/3/13 15:50,英語,前回の宿題の確認から進めましたが、かなり抜けてしまっていて、再度基本から確認しました。まだまだなんとなく考えてしまっているので、法則通りに機械的に考える癖をつけていきましょう。同じ範囲を宿題としていますので、覚えているうちにもう一度取り組んでください。また、単語がわからない場合は調べるようにしてください。
小5,2025,2026/3/13 15:50,国語,宿題を6ページ中4ページしかできていなかったため、宿題の残りから取り組みました。辞書の順に並び替える問題でかなり時間がかかってしまいました。ルールを知らなかったものもありましたが、最終的には解けている問題でも都度2つを比べているような感じだったため、考え方を伝えて少しスムーズに解けるようになりました。残り時間が中途半端だったため、漢字の成り立ちの問題を扱いました。
中2,2025,2026/3/12 17:20,国語,"本日から国語の授業を始めました。まず学校ワークを確認しましたが、テストと全く同じ問題はなかったものの、似たようなことが問われている問題はいくつか確認できたため、テスト前はワークの問題に即答できるように勉強していきましょう。
その後テキストで問題に取り組みましたが、穴埋めタイプの問題は良く出来ていました。記号問題ではかなりふわっと選んでいる様子も見て取れたため、必ず本文を読んで答えを考えてから選択肢を見るように指導しています。"
中3,2025,2026/3/12 17:20,英語,"今回は一般動詞～進行形を扱いました。否定文や疑問文を作る問題はほぼ全問正解で、やはり文法規則にのっとって考える力は十分にあるようで、なかなか良いペースで進められています。一方で基本的な単語が出てこなかったり綴りが書けなかったりしているので、まずは出てきた単語で書けなかったものを書き出して覚えていくようにしましょう。
面談では今後の進め方を確認し、理社を１週間に2単元ずつ進めていく約束をしました。自習室・質問をうまくつかいつつ進めていきましょう。"
小5,2025,2026/3/12 15:50,算数,"本日も引き続き前学年の復習を進めました。まず最初に単位変換の問題に取り組みました。×10や÷10を頭の中で筆算している様子だったため、小数点の移動(0の変動)で考えるように教えました。また、単位変換(cmとmとkm、LとdL)も最初は手が止まってしまいましたが、とにかく分かっていることを書き出していくように伝えて、少しは書くようになってきました。最後は計算問題で、ミスもなくスピードも十分でした。
宿題は毎日の計算トレーニングの方から出しています。必ず問題や途中式、筆算もノートに書くようにしてください!"
中2,2025,2026/3/11 18:50,,本日は宿題の確認の後、テキストの1年の復習を進めました。まだbe動詞と一般動詞の区別、疑問文と否定文の作り方がやや曖昧でしたが、後半はかなりスムーズにできるようになってきました。今回やったことを常に意識して問題を解いていくようにしましょう。宿題範囲は覚えていないことも多いと思うので、適宜質問してください！
中2,2025,2026/3/11 18:50,数学,本日は文字式の利用で整数の性質と等式の変形を扱いました。まだ文字式の移項があまり慣れておらず間違えが多くなってしまいましたが、説明の後はあまりミスなくできるようになってきました。宿題で同じ範囲を出しているので、しっかり演習して身に着けてしまいましょう。また、説明の問題は少々面倒ではありますが、自分で考える練習も必要なので、なんとか書いてみてください。
小6,2025,2026/3/11 15:50,算数,今回は前回に引き続き比の性質を扱いました。宿題確認したところ比の計算は問題なく出来ていました。一方で今回比の積や商を使う問題では、例題の解き方をなんとなくなぞっているだけで、何を計算しているのかがあまりわかっていない様子でしたので、一つ一つの式の意味をメモしていくように伝えています。後半に扱った同様の練習問題は自分で解き切ることが出来ていたので解き方自体は身についていると思いますが、今後も理解できているかは確認していきます。
小4,2025,2026/3/11 15:50,"国語,算数","国語は接続語を扱いました。基本的な例題は問題なく解けていた一方で、一文が長くなったり段落間の関係性を問われたりすると間違えてしまっていたため、長い文をある程度短くして考える練習をしていきます。
算数は前回の続きで割り算の筆算を行いましたが、きちんとやり方は覚えていて素晴らしいです。虫食いのような問題も、問題文の意味を説明した後は自分で考えて解くことが出来ていました。
少し宿題は増やしましたので、ご家庭でも様子を見てあげてください。"
中3,2025,2026/3/10 20:20,数学,本日は正負の数の計算から文字式までを扱いました。正負の数についてはかなり成長が見られ、符号の間違いはほとんどなくなりました。文字式についてはまだこれからですが、加法減法については問題なく出来るようになってきています。式変形の際は省略せずに必ず全て書くように心掛けて下さい。宿題でわからないところはどんどん質問するようにしてください！
